--- Trainig Metrics ---
Epoch [1/200], Train Loss: 7.9076, Train Accuracy: 39.04%, Val Loss: 2.7829, Val Accuracy: 32.19%
Epoch [2/200], Train Loss: 1.3624, Train Accuracy: 45.71%, Val Loss: 0.9078, Val Accuracy: 59.53%
Epoch [3/200], Train Loss: 0.9545, Train Accuracy: 53.91%, Val Loss: 0.9579, Val Accuracy: 52.34%
Epoch [4/200], Train Loss: 0.9285, Train Accuracy: 53.35%, Val Loss: 0.8919, Val Accuracy: 59.84%
Epoch [5/200], Train Loss: 0.9092, Train Accuracy: 54.93%, Val Loss: 0.9061, Val Accuracy: 57.34%
Epoch [6/200], Train Loss: 0.8925, Train Accuracy: 55.74%, Val Loss: 0.8281, Val Accuracy: 62.34%
Epoch [7/200], Train Loss: 0.8709, Train Accuracy: 58.33%, Val Loss: 0.8172, Val Accuracy: 63.75%
Epoch [8/200], Train Loss: 0.8555, Train Accuracy: 59.08%, Val Loss: 0.8198, Val Accuracy: 63.28%
Epoch [9/200], Train Loss: 0.8531, Train Accuracy: 60.31%, Val Loss: 0.8034, Val Accuracy: 60.62%
Epoch [10/200], Train Loss: 0.8279, Train Accuracy: 60.38%, Val Loss: 0.7702, Val Accuracy: 63.44%
Epoch [11/200], Train Loss: 0.8486, Train Accuracy: 59.06%, Val Loss: 0.7566, Val Accuracy: 66.25%
Epoch [12/200], Train Loss: 0.8062, Train Accuracy: 62.77%, Val Loss: 0.9007, Val Accuracy: 57.50%
Epoch [13/200], Train Loss: 0.7808, Train Accuracy: 63.42%, Val Loss: 0.7974, Val Accuracy: 63.91%
Epoch [14/200], Train Loss: 0.7551, Train Accuracy: 64.91%, Val Loss: 0.7180, Val Accuracy: 69.06%
Epoch [15/200], Train Loss: 0.7505, Train Accuracy: 64.69%, Val Loss: 0.7289, Val Accuracy: 66.25%
Epoch [16/200], Train Loss: 0.7134, Train Accuracy: 68.30%, Val Loss: 0.6665, Val Accuracy: 72.03%
Epoch [17/200], Train Loss: 0.6936, Train Accuracy: 69.22%, Val Loss: 0.8367, Val Accuracy: 55.31%
Epoch [18/200], Train Loss: 0.6922, Train Accuracy: 68.37%, Val Loss: 0.7692, Val Accuracy: 63.28%
Epoch [19/200], Train Loss: 0.6621, Train Accuracy: 70.85%, Val Loss: 0.7222, Val Accuracy: 62.19%
Epoch [20/200], Train Loss: 0.6531, Train Accuracy: 70.29%, Val Loss: 0.6144, Val Accuracy: 72.19%
Epoch [21/200], Train Loss: 0.6522, Train Accuracy: 70.87%, Val Loss: 0.7366, Val Accuracy: 63.44%
Epoch [22/200], Train Loss: 0.6418, Train Accuracy: 71.90%, Val Loss: 0.5825, Val Accuracy: 72.81%
Epoch [23/200], Train Loss: 0.6322, Train Accuracy: 72.19%, Val Loss: 0.6202, Val Accuracy: 70.47%
Epoch [24/200], Train Loss: 0.6090, Train Accuracy: 73.77%, Val Loss: 0.5703, Val Accuracy: 74.22%
Epoch [25/200], Train Loss: 0.6433, Train Accuracy: 70.98%, Val Loss: 0.9903, Val Accuracy: 51.72%
Epoch [26/200], Train Loss: 0.6591, Train Accuracy: 70.09%, Val Loss: 0.8458, Val Accuracy: 55.16%
Epoch [27/200], Train Loss: 0.7538, Train Accuracy: 64.78%, Val Loss: 0.6601, Val Accuracy: 68.44%
Epoch [28/200], Train Loss: 0.6782, Train Accuracy: 66.70%, Val Loss: 0.5719, Val Accuracy: 74.38%
Epoch [29/200], Train Loss: 0.5775, Train Accuracy: 75.13%, Val Loss: 0.6441, Val Accuracy: 72.97%
Epoch [30/200], Train Loss: 0.5573, Train Accuracy: 76.50%, Val Loss: 0.5443, Val Accuracy: 76.09%
Epoch [31/200], Train Loss: 0.5207, Train Accuracy: 79.26%, Val Loss: 0.5158, Val Accuracy: 77.81%
Epoch [32/200], Train Loss: 0.4853, Train Accuracy: 81.63%, Val Loss: 0.5411, Val Accuracy: 74.84%
Epoch [33/200], Train Loss: 0.5064, Train Accuracy: 78.53%, Val Loss: 0.5267, Val Accuracy: 77.81%
Epoch [34/200], Train Loss: 0.4515, Train Accuracy: 82.48%, Val Loss: 0.5552, Val Accuracy: 73.44%
Epoch [35/200], Train Loss: 0.5007, Train Accuracy: 79.13%, Val Loss: 0.7559, Val Accuracy: 61.41%
Epoch [36/200], Train Loss: 0.7008, Train Accuracy: 68.82%, Val Loss: 0.5284, Val Accuracy: 75.62%
Epoch [37/200], Train Loss: 0.5007, Train Accuracy: 77.86%, Val Loss: 0.4893, Val Accuracy: 77.97%
Epoch [38/200], Train Loss: 0.6188, Train Accuracy: 75.00%, Val Loss: 0.5336, Val Accuracy: 75.94%
Epoch [39/200], Train Loss: 0.4714, Train Accuracy: 80.47%, Val Loss: 0.4699, Val Accuracy: 78.91%
Epoch [40/200], Train Loss: 0.4442, Train Accuracy: 81.99%, Val Loss: 0.6804, Val Accuracy: 65.62%
Epoch [41/200], Train Loss: 0.4159, Train Accuracy: 83.73%, Val Loss: 0.5077, Val Accuracy: 77.03%
Epoch [42/200], Train Loss: 0.4124, Train Accuracy: 84.02%, Val Loss: 0.4709, Val Accuracy: 79.69%
Epoch [43/200], Train Loss: 0.4853, Train Accuracy: 78.93%, Val Loss: 0.7054, Val Accuracy: 70.16%
Epoch [44/200], Train Loss: 0.7828, Train Accuracy: 66.56%, Val Loss: 0.7488, Val Accuracy: 63.12%
Epoch [45/200], Train Loss: 0.5325, Train Accuracy: 76.47%, Val Loss: 0.5458, Val Accuracy: 74.38%
Epoch [46/200], Train Loss: 0.4458, Train Accuracy: 82.41%, Val Loss: 0.4582, Val Accuracy: 80.62%
Epoch [47/200], Train Loss: 0.3895, Train Accuracy: 86.67%, Val Loss: 0.4405, Val Accuracy: 82.03%
Epoch [48/200], Train Loss: 0.4157, Train Accuracy: 84.38%, Val Loss: 0.6968, Val Accuracy: 70.16%
Epoch [49/200], Train Loss: 0.5504, Train Accuracy: 75.94%, Val Loss: 0.8951, Val Accuracy: 66.25%
Epoch [50/200], Train Loss: 0.5763, Train Accuracy: 75.04%, Val Loss: 0.4955, Val Accuracy: 79.84%
Epoch [51/200], Train Loss: 0.4045, Train Accuracy: 84.20%, Val Loss: 0.4823, Val Accuracy: 80.00%
Epoch [52/200], Train Loss: 0.4030, Train Accuracy: 84.04%, Val Loss: 0.4327, Val Accuracy: 82.97%
Epoch [53/200], Train Loss: 0.3769, Train Accuracy: 85.65%, Val Loss: 0.5642, Val Accuracy: 75.31%
Epoch [54/200], Train Loss: 0.3732, Train Accuracy: 85.58%, Val Loss: 0.4669, Val Accuracy: 79.38%
Epoch [55/200], Train Loss: 0.3816, Train Accuracy: 84.49%, Val Loss: 0.4818, Val Accuracy: 77.97%
Epoch [56/200], Train Loss: 0.4256, Train Accuracy: 81.79%, Val Loss: 0.8150, Val Accuracy: 62.50%
Epoch [57/200], Train Loss: 0.4498, Train Accuracy: 79.87%, Val Loss: 0.7682, Val Accuracy: 66.72%
Epoch [58/200], Train Loss: 0.3971, Train Accuracy: 82.99%, Val Loss: 0.3901, Val Accuracy: 83.44%
Epoch [59/200], Train Loss: 0.3201, Train Accuracy: 88.44%, Val Loss: 0.4002, Val Accuracy: 83.12%
Epoch [60/200], Train Loss: 0.3201, Train Accuracy: 87.99%, Val Loss: 0.7624, Val Accuracy: 64.69%
Epoch [61/200], Train Loss: 0.3438, Train Accuracy: 86.29%, Val Loss: 0.5043, Val Accuracy: 80.00%
Epoch [62/200], Train Loss: 0.4342, Train Accuracy: 81.76%, Val Loss: 0.8319, Val Accuracy: 67.34%
